,fs,Bm,D,pred_test_y,y_test,prediction error
0,270000.0,0.019199999999999995,0.5,23.822754,5.811660000000018,309.91306969523214
1,110000.0,0.23760000000000003,0.9000000000000001,1257.2075,1266.00962,0.6952633163048193
2,420000.0,0.0242,0.9000000000000001,179.35939,93.75204689999998,91.3125059019795
3,340000.0,0.0175,0.9000000000000001,36.368958,28.911,25.79626273574504
4,260000.0,0.0177,0.9000000000000001,44.268646,15.513730500000008,185.35139398118557
5,330000.0,0.0843,0.5,271.82068,311.292406,12.679951880696546
6,470000.0,0.0247,0.9000000000000001,208.40297,123.065992,69.34245275522711
7,360000.0,0.0671,0.5,247.79396,213.379094,16.128509089690414
8,410000.0,0.0225,0.9000000000000001,153.20496,69.72332030000001,119.73273130925102
9,370000.0,0.0711,0.10000000000000003,836.39685,777.942,7.514037111498992
10,130000.0,0.1068,0.9000000000000001,220.54523,254.485797,13.336921097101047
11,400000.0,0.035,0.9000000000000001,263.3823,174.036078,51.337755210256965
12,70000.0,0.1326,0.9000000000000001,84.88724,159.868594,46.9018676996508
13,140000.0,0.23460000000000003,0.5,714.2195,929.874375,23.19183089415976
14,480000.0,0.010500000000000002,0.10000000000000003,62.043365,23.16599020000001,167.82090876700622
15,400000.0,0.0568,0.10000000000000003,680.08716,553.8968120000001,22.782284257509847
16,440000.0,0.012799999999999999,0.9000000000000001,82.349045,26.763660200000004,207.6897710717635
17,210000.0,0.2929,0.5,2936.8083,2834.9355,3.593480331717422
18,230000.0,0.013200000000000003,0.10000000000000003,35.695496,6.943939999999998,414.0524774907151
19,80000.0,0.0336,0.10000000000000003,25.222534,7.507249999999999,235.97567923923543
20,380000.0,0.0499,0.9000000000000001,413.51602,343.02668800000004,20.549227274268404
21,220000.0,0.0365,0.10000000000000003,95.16797,59.33078119999999,60.402352413320344
22,90000.0,0.0606,0.9000000000000001,32.883423,35.112261699999976,6.347750730160108
23,400000.0,0.0216,0.5,30.605927,17.631100000000004,73.59056731384808
24,360000.0,0.1059,0.5,707.43774,639.17325,10.68012375997039
25,160000.0,0.012200000000000003,0.10000000000000003,1.6496582,2.3340600000000222,29.32237375538828
26,500000.0,0.0371,0.10000000000000003,441.88815,323.933125,36.41338874379453
27,250000.0,0.0599,0.9000000000000001,244.9076,226.609453,8.07474689656371
28,50000.0,0.1058,0.10000000000000003,78.778015,60.6123594,29.970217157919688
29,330000.0,0.019299999999999998,0.5,41.94223,8.799019999999985,376.6693361830005
30,500000.0,0.0521,0.10000000000000003,736.2408,708.8995,3.856863164864168
31,120000.0,0.030700000000000005,0.9000000000000001,32.602844,11.038740200000063,195.34932109627022
32,260000.0,0.03,0.10000000000000003,96.258606,52.2567305,84.20326919808204
33,280000.0,0.06,0.5,78.207306,98.51247660000001,20.6117756781651
34,440000.0,0.0397,0.9000000000000001,356.2216,280.020688,27.21259656885266
35,330000.0,0.0478,0.5,133.4688,76.48184380000001,74.51043168544425
36,410000.0,0.0477,0.5,213.85474,121.59121099999999,75.88009410328598
37,70000.0,0.1056,0.10000000000000003,125.13663,95.26777340000001,31.35252639090819
38,300000.0,0.0434,0.9000000000000001,207.55023,160.790766,29.08093984302168
39,280000.0,0.0799,0.10000000000000003,586.98987,585.3715,0.27646856125768526
