,fs,Bm,D,pred_test_y,y_test,prediction error
0,220000.0,0.0462,0.10000000000000003,126.482765,118.88932,6.386986819130523
1,70000.0,0.1659,0.10000000000000003,394.54767,425.792031,7.337939714275384
2,100000.0,0.1059,0.4,177.93243,147.563469,20.580273212492216
3,380000.0,0.0401,0.9,230.68301,232.642422,0.8422402359550681
4,280000.0,0.0677,0.9,503.76202,464.43134399999997,8.468567084003979
5,310000.0,0.038,0.4,52.630096,53.37803120000001,1.4012033558351518
6,90000.0,0.0473,0.10000000000000003,43.203415,29.40249019999996,46.93794513021297
7,120000.0,0.0955,0.9,249.30309,242.701297,2.7201289851979764
8,250000.0,0.0339,0.10000000000000003,70.24858,73.43657809999999,4.3411570226510925
9,180000.0,0.0341,0.9,61.37538,40.6764805,50.886656650952304
10,80000.0,0.0754,0.9,77.54135,74.6996,3.804239003099576
11,160000.0,0.1333,0.4,441.2594,449.344031,1.7992075176664521
12,80000.0,0.1184,0.4,165.82104,148.985109,11.300415212553228
13,500000.0,0.030200000000000005,0.9,288.34937,224.787312,28.276530676417813
14,270000.0,0.0242,0.4,16.914276,13.31512010000003,27.030593761199622
15,130000.0,0.0541,0.9,83.06351,65.92507029999999,25.996842630713342
16,170000.0,0.0961,0.9,357.88544,437.144562,18.131101671643638
17,350000.0,0.0532,0.4,160.26941,153.21151600000002,4.606633602977652
18,200000.0,0.2099,0.4,1774.0977,1757.89638,0.9216286258010323
19,230000.0,0.0174,0.9,22.526413,12.335269499999981,82.6179230528139
20,130000.0,0.027499999999999997,0.4,8.811111,6.928240000000017,27.17676423154064
21,470000.0,0.013900000000000003,0.9,59.329758,37.335200000000015,58.91104826123783
22,410000.0,0.0235,0.10000000000000003,82.92081,91.30109380000002,9.178736602643408
23,420000.0,0.132,0.4,1883.0616,1949.3455,3.400313309887211
24,110000.0,0.1695,0.9,685.7522,837.1304379999999,18.082993266382093
25,290000.0,0.024100000000000003,0.4,22.03041,14.472289999999987,52.22477414840072
26,290000.0,0.019200000000000002,0.4,8.836044,8.31380999999999,6.281528102319498
27,300000.0,0.023100000000000002,0.10000000000000003,40.938553,44.858929700000004,8.739345476525472
28,150000.0,0.1048,0.10000000000000003,458.32452,450.673188,1.6977570730880196
29,350000.0,0.0369,0.10000000000000003,207.83424,177.444109,17.126595492901973
30,70000.0,0.2621,0.4,1039.0905,789.8219379999999,31.560090206251346
31,290000.0,0.0333,0.10000000000000003,83.45241,95.31738279999999,12.447860625780768
32,380000.0,0.0189,0.10000000000000003,54.390503,48.387249999999995,12.406683433523307
33,100000.0,0.0754,0.4,74.4975,65.9666172,12.932117365863272
34,280000.0,0.014600000000000002,0.10000000000000003,15.902527,13.900399999999962,14.403375841477896
35,410000.0,0.0665,0.4,370.9264,368.768094,0.5852723260712682
36,340000.0,0.0216,0.4,8.030792,14.721120100000036,45.44713865673778
37,280000.0,0.019300000000000005,0.4,5.6222687,7.792539999999974,27.850627949836237
38,330000.0,0.038,0.4,53.72374,59.641878899999995,9.922791476605472
39,300000.0,0.0388,0.9,168.52078,139.88834400000002,20.4680659245656
