,fs,Bm,D,pred_val_y,y_val,prediction error
0,250000.0,0.0425,0.10000000000000003,125.18924,122.89610199999998,1.8659155698470733
1,240000.0,0.0675,0.4,165.60826,154.192938,7.403272326517599
2,310000.0,0.0316,0.9,126.34043,90.1355312,40.16717883766008
3,360000.0,0.015400000000000004,0.9,38.94371,26.724700000000013,45.72178668852567
4,460000.0,0.011000000000000003,0.9,38.586426,22.425619099999977,72.06403805034769
5,130000.0,0.0679,0.9,123.074066,119.67132000000001,2.8434099014779535
6,50000.0,0.1482,0.10000000000000003,241.27087,218.933812,10.202655231453017
7,470000.0,0.025100000000000004,0.10000000000000003,141.74718,147.17004699999998,3.6847646559333813
8,170000.0,0.0245,0.4,13.021957,6.993320000000011,86.20565621851877
9,500000.0,0.0191,0.9,104.13295,87.57064060000002,18.913084471716815
10,230000.0,0.0273,0.9,54.828537,36.75682029999999,49.16561481599296
11,500000.0,0.013699999999999997,0.4,-4.797287,11.202900000000028,142.82183173378922
12,360000.0,0.0172,0.9,50.14183,34.85064059999999,43.876352288158365
13,180000.0,0.014900000000000004,0.10000000000000003,23.859024,5.4721700000000055,336.00663078543863
14,200000.0,0.0337,0.10000000000000003,52.0782,46.3246484,12.420068133631666
15,480000.0,0.016300000000000002,0.10000000000000003,47.731094,58.059460900000005,17.789291150046555
16,340000.0,0.015400000000000004,0.4,-1.5787506,6.557850000000002,124.07421045543222
17,190000.0,0.0436,0.9,90.39923,75.25214840000001,20.128438694557243
18,200000.0,0.015300000000000001,0.10000000000000003,26.839676,6.896410000000003,289.18329831492474
19,480000.0,0.0444,0.9,491.36838,470.784594,4.372229666790424
20,110000.0,0.0751,0.4,86.43616,72.66380000000001,18.95353288234649
21,320000.0,0.011799999999999998,0.10000000000000003,12.632278,11.890830100000017,6.2354632615833525
22,340000.0,0.0478,0.4,107.62048,113.963492,5.565825064014801
23,210000.0,0.0381,0.9,78.65225,66.14500000000001,18.908839968653133
24,110000.0,0.0531,0.10000000000000003,59.506104,52.156988299999995,14.09037495292842
25,160000.0,0.0612,0.9,133.85071,133.05235899999997,0.6000261955615029
26,390000.0,0.012400000000000001,0.9,28.384705,19.668679700000013,44.314234726409886
27,430000.0,0.0378,0.4,91.28743,96.88809380000001,5.780549261285698
28,390000.0,0.0179,0.10000000000000003,49.328598,49.19475,0.2720778588384704
29,100000.0,0.1656,0.10000000000000003,570.8045,698.3162500000001,18.259885203225444
30,90000.0,0.015400000000000004,0.9,-20.451126,1.6487100000000225,1340.4319800712396
31,120000.0,0.0755,0.9,146.27087,137.63690599999998,6.273003567398935
32,280000.0,0.0184,0.10000000000000003,26.139938,22.996210900000023,13.670632384451483
33,70000.0,0.1318,0.10000000000000003,288.01608,249.905844,15.249838960817527
34,200000.0,0.0379,0.10000000000000003,59.94893,61.78312109999999,2.9687594837162994
35,240000.0,0.0599,0.9,226.98021,251.560312,9.771057466892502
36,150000.0,0.29479999999999995,0.4,2898.1704,2684.463,7.96089982079283
37,360000.0,0.0395,0.10000000000000003,253.44934,230.177203,10.110531154691506
38,260000.0,0.013600000000000001,0.10000000000000003,6.6219025,9.59763000000001,31.0048161283535
39,210000.0,0.0537,0.4,57.679672,67.99447660000001,15.170062150002744
40,250000.0,0.0665,0.10000000000000003,369.38092,357.776656,3.2434381102148393
41,240000.0,0.1184,0.4,627.0666,608.1820620000001,3.105077991509171
42,300000.0,0.0425,0.4,61.213684,68.2125469,10.26037457335984
43,70000.0,0.1475,0.10000000000000003,331.05124,328.855375,0.6677293973595214
44,380000.0,0.0666,0.4,332.04196,322.229875,3.045058025709715
45,320000.0,0.030200000000000005,0.4,37.343872,31.4366895,18.79072721799317
46,360000.0,0.0838,0.4,514.99225,519.441375,0.8565213860454886
47,100000.0,0.0478,0.10000000000000003,51.28836,34.88653909999999,47.01475674812104
48,140000.0,0.0169,0.10000000000000003,12.104507,4.172580000000039,190.09647379532447
49,210000.0,0.0948,0.4,306.6135,285.9845,7.2133262023105615
50,400000.0,0.015400000000000004,0.4,12.475494,9.072749999999985,37.505104679018444
51,290000.0,0.0938,0.4,474.01685,471.379656,0.5594619261899136
52,220000.0,0.1863,0.4,1486.9508,1560.8375,4.733785184936778
53,360000.0,0.0305,0.4,41.082672,40.644929700000006,1.0769914534767153
54,390000.0,0.0282,0.10000000000000003,122.757614,129.975641,5.553368930304263
55,380000.0,0.020999999999999998,0.10000000000000003,65.28987,61.02978909999999,6.9803323567774305
56,70000.0,0.2609,0.10000000000000003,1124.9253,1192.942,5.70159379343254
57,430000.0,0.0271,0.4,50.157227,42.0336719,19.326302688535755
58,90000.0,0.085,0.9,120.45881,120.647367,0.15628861678698835
59,110000.0,0.2626,0.4,1592.6569,1385.38538,14.961286826309845
60,410000.0,0.013600000000000001,0.4,11.009247,7.081940000000031,55.45524003552453
61,160000.0,0.2089,0.4,1328.4756,1297.41525,2.394016560041204
62,120000.0,0.015100000000000002,0.10000000000000003,4.303482,2.2896700000000294,87.95206539213106
63,410000.0,0.0337,0.4,68.87221,67.26309380000001,2.392268554262598
64,320000.0,0.1326,0.4,1309.2128,1253.44938,4.448794617831913
65,140000.0,0.013499999999999998,0.10000000000000003,9.619049,2.5760999999999967,273.3957948940506
66,320000.0,0.0215,0.4,20.233383,13.0598301,54.92837980113492
67,160000.0,0.263,0.4,2343.7942,2218.1175,5.665916681741394
68,420000.0,0.012699999999999996,0.10000000000000003,22.9702,26.80516990000004,14.306830843997357
