,fs,Bm,D,pred_test_y,y_test,iGSE,prediction error,iGSE error
0,220000.0,0.0462,0.10000000000000003,120.66466004974775,118.88932000000003,71.52933696777602,1.4932712625050977,39.83535529703089
1,70000.0,0.1659,0.10000000000000003,446.34995915745367,425.792031,274.07471462178296,4.828161792782275,35.6317886039105
2,100000.0,0.1059,0.4,147.7926883318273,147.56346899999997,95.65419223585248,0.15533609597326795,35.17759315088174
3,380000.0,0.0401,0.9,234.1082548841231,232.64242199999995,121.45136258645972,0.6300797900578767,47.79483400217534
4,280000.0,0.0677,0.9,450.7898336770351,464.43134399999997,274.34312487049755,2.937250144547705,40.9292399372387
5,310000.0,0.038,0.4,53.38943081986072,53.37803119999999,45.9955337767413,0.02135638876979123,13.8305914573685
6,90000.0,0.0473,0.10000000000000003,29.175236717169494,29.402490200000013,17.89589318565902,0.7729055644086895,39.13477034112229
7,120000.0,0.0955,0.9,237.8478123057887,242.70129699999995,164.79658376642948,1.999776990978034,32.09900985142675
8,250000.0,0.0339,0.10000000000000003,73.0796370376468,73.43657810000003,40.58176692296087,0.4860535057436575,44.73902791644257
9,180000.0,0.0341,0.9,38.21211727161583,40.67648049999998,24.22013930695323,6.0584475305924075,40.4566496185597
10,80000.0,0.0754,0.9,74.29202949060104,74.69960000000002,47.42496427207334,0.5456127066262464,36.512425405124894
11,160000.0,0.1333,0.4,458.29144650146947,449.34403100000014,363.2428548624951,1.9912171708517297,19.161526624909143
12,80000.0,0.1184,0.4,147.84245315666578,148.985109,88.13720091374948,0.7669597659818546,40.84160389898464
13,500000.0,0.030200000000000005,0.9,225.4304196547458,224.787312,93.19095902193492,0.2860960652200063,58.54260714593405
14,270000.0,0.0242,0.4,12.779030991215674,13.31512010000001,11.917829688562477,4.026168031216904,10.49401282860026
15,130000.0,0.0541,0.9,70.02264036093383,65.92507030000002,45.34707475095479,6.215495929374562,31.214218589987944
16,170000.0,0.0961,0.9,405.4861597983536,437.1445619999999,293.8845704292138,7.2420899065527715,32.771765686698885
17,350000.0,0.0532,0.4,156.66363323296926,153.211516,129.70028002303286,2.2531708601912612,15.34560625127365
18,200000.0,0.2099,0.4,1795.3983289815499,1757.89638,1619.5515091657694,2.133342409041764,7.8699104457016125
19,230000.0,0.0174,0.9,12.850387969038469,12.335269500000013,6.702100693005235,4.175980662915024,45.66717254936969
20,130000.0,0.027499999999999997,0.4,6.815931696543715,6.928240000000001,5.034668956782838,1.6210221276440409,27.33119873470265
21,470000.0,0.013900000000000003,0.9,36.85681705748534,37.33519999999998,12.136048651023316,1.2813188157948596,67.4943521100106
22,410000.0,0.0235,0.10000000000000003,94.32182388377926,91.3010938,36.13715626847252,3.308536577224725,60.419799189226666
23,420000.0,0.132,0.4,1945.4336422135596,1949.3454999999997,1685.9133294137032,0.20067544652500666,13.513877893184997
24,110000.0,0.1695,0.9,812.4985184503428,837.1304379999999,600.2787879724498,2.9424231196879673,28.2932789534467
25,290000.0,0.024100000000000003,0.4,14.567711650912567,14.472289999999997,13.238928041698273,0.659340373310444,8.52223081697316
26,290000.0,0.019200000000000002,0.4,8.213804249985621,8.313810000000002,7.5031041588923415,1.2028871241269732,9.751315475187193
27,300000.0,0.023100000000000002,0.10000000000000003,45.22955138108592,44.85892969999999,20.898277409165416,0.8261937669144365,53.41333921935855
28,150000.0,0.1048,0.10000000000000003,442.00149450683864,450.673188,298.1036049538026,1.9241644996998009,33.85370754432309
29,350000.0,0.0369,0.10000000000000003,174.7446206138937,177.444109,86.38923474681563,1.521317558142384,51.31467861420205
30,70000.0,0.2621,0.4,724.3748551560042,789.8219379999999,517.1507461801801,8.28630855832163,34.523122073600824
31,290000.0,0.0333,0.10000000000000003,94.95773391532671,95.31738279999999,49.33031800218981,0.37731720501381294,48.24625209685277
32,380000.0,0.0189,0.10000000000000003,49.93599010553881,48.38725,18.547441036641686,3.2007194158353798,61.66874323992025
33,100000.0,0.0754,0.4,66.49864290309769,65.9666172,40.940959562354635,0.8065074816322211,37.936851546853866
34,280000.0,0.014600000000000002,0.10000000000000003,13.862259295746584,13.90040000000002,5.94160495813307,0.27438565978990703,57.25587063585897
35,410000.0,0.0665,0.4,367.7910870070138,368.76809399999996,292.46869644549486,0.26493804883948613,20.69034680492318
36,340000.0,0.0216,0.4,14.903673144171307,14.721120099999988,13.02141151891746,1.240075775017416,11.54605471279681
37,280000.0,0.019300000000000005,0.4,7.781253842703855,7.792540000000007,7.1820901691546055,0.14483284392704077,7.833772182695255
38,330000.0,0.038,0.4,59.6728368957085,59.641878899999995,50.88514045132476,0.051906472900378205,14.682197493069316
39,300000.0,0.0388,0.9,137.49524276493872,139.888344,76.34040480645365,1.7107223994740164,45.42761560859306
