Frequency,Flux_Density,T,Power_Loss
63010,0.0304,50,4844.97
63010,0.0385,50,9273.47
63010,0.0485,50,17087.9199
63010,0.0614,50,33536.0898
63010,0.0767,50,63920.4492
63010,0.0968,50,119030.406
63010,0.1225,50,223224.516
63010,0.1544,50,426158.594
63010,0.1939,50,823120.125
63010,0.2436,50,1609975.75
63010,0.307,50,3011456
79540,0.0242,50,2545.38
79530,0.0307,50,5069.12
79530,0.0385,50,9512.83
79530,0.0488,50,19537.8594
79530,0.0611,50,39672.0586
79530,0.0769,50,74321.3125
79530,0.0974,50,143279.562
79530,0.1229,50,279412.594
79530,0.1544,50,519579.531
79530,0.194,50,1032854.94
79530,0.2447,50,2035777.62
79530,0.3067,50,3754319
99900,0.0243,50,2514.99
99900,0.0307,50,5021.2
99900,0.0388,50,10808.1904
99900,0.0485,50,23070.0391
99900,0.0611,50,45524.3398
99900,0.0774,50,91351.4297
99900,0.0976,50,181734.031
99900,0.1227,50,340308.156
99900,0.1541,50,652915.938
99900,0.1943,50,1316913.62
99900,0.2438,50,2546058.5
125890,0.0308,50,6304.95
125890,0.0385,50,14508.9404
125890,0.0486,50,28757.4
125890,0.0615,50,60582.2891
125890,0.0775,50,122443
125890,0.0975,50,229693.156
125890,0.1224,50,443400.938
125890,0.1544,50,853547.062
125890,0.1938,50,1682179
158740,0.0307,50,8069.56
158750,0.0386,50,16895.6191
158750,0.0487,50,37703.3906
158750,0.0615,50,79583.1875
158740,0.0774,50,149941.203
158750,0.0971,50,292175.844
158750,0.1225,50,569616.5
158750,0.1537,50,1075521.75
199170,0.0308,50,9650.16
199170,0.0389,50,23831.6699
199170,0.049,50,51202.2
199170,0.0616,50,98895.4609
199170,0.0773,50,194155.234
199170,0.0975,50,381031.031
199170,0.1224,50,722266.188
251230,0.0308,50,15062.29
251230,0.0389,50,33979.9219
251230,0.0488,50,64986.7109
251230,0.0613,50,130929.461
251230,0.0773,50,257184.031
251230,0.097,50,485815.875
316460,0.0244,50,10350.8096
316460,0.0308,50,21777
316460,0.0387,50,43773.6211
316460,0.0486,50,88028.0312
316460,0.0612,50,176717.422
316460,0.0768,50,331773.281
396820,0.0195,50,7746.99
396820,0.0245,50,15828.8604
396820,0.0308,50,30188.0195
396820,0.0387,50,62165.5586
396820,0.0487,50,122950.242
396820,0.0611,50,234915.984
499970,0.0122,50,3330.56
499970,0.0154,50,6497.98
499970,0.0194,50,12563.8203
499970,0.0244,50,22817.9199
499970,0.0306,50,44546.2383
499970,0.0386,50,89600.9922
499970,0.0483,50,167460.594
