Frequency,Flux_Density,T,Power_Loss
63010,0.0304,75,4252.63
63010,0.0385,75,8087.28
63010,0.0485,75,15271.8896
63010,0.0613,75,30406.9199
63010,0.0767,75,59113.7891
63010,0.0967,75,111637.68
63010,0.1224,75,211456.375
63010,0.1543,75,410706.562
63010,0.1938,75,804166.938
63010,0.2433,75,1566724.25
63010,0.3067,75,2927852.75
79530,0.0242,75,2160.99
79530,0.0307,75,4295.66
79530,0.0385,75,8251.88
79530,0.0488,75,17294.1895
79530,0.0611,75,35916.6914
79530,0.0769,75,68666.7812
79530,0.0974,75,134932.625
79540,0.1228,75,267252.781
79530,0.1543,75,502428.312
79530,0.1939,75,1010914.5
79530,0.2444,75,1991923.75
79530,0.3064,75,3656438.75
99900,0.0307,75,4011.69
99900,0.0388,75,9294.67
99900,0.0485,75,20465.8301
99900,0.061,75,41256.4609
99900,0.0773,75,83814.1406
99900,0.0976,75,170797.266
99900,0.1226,75,325905.25
99900,0.154,75,635618.188
99900,0.1943,75,1296602.88
99900,0.2436,75,2504353.75
125890,0.0308,75,5200.34
125890,0.0385,75,12487.4697
125890,0.0486,75,25400.1699
125890,0.0614,75,55086.1484
125890,0.0775,75,113454.109
125890,0.0974,75,215495.906
125890,0.1224,75,424590.062
125890,0.1544,75,834749.188
125890,0.1936,75,1658513
158750,0.0306,75,6704.87
158750,0.0386,75,14465.1504
158740,0.0488,75,33375.7109
158740,0.0615,75,72012.8672
158750,0.0773,75,138367.656
158750,0.0971,75,276250.594
158750,0.1224,75,546118.812
158750,0.1536,75,1050083.25
199170,0.0308,75,8075.7
199170,0.0389,75,20630.8906
199170,0.049,75,45469.75
199170,0.0616,75,89735.9922
199170,0.0773,75,179463.562
199170,0.0976,75,359477.125
199170,0.1224,75,695450.5
251230,0.0308,75,13098.8398
251230,0.0389,75,30019.4
251230,0.0488,75,58168.0312
251230,0.0613,75,119949.047
251230,0.0773,75,238319.453
251230,0.0969,75,458374.594
316460,0.0244,75,9151.17
316460,0.0308,75,19703.9492
316460,0.0387,75,39309.8
316460,0.0486,75,79740.2
316460,0.0612,75,162116.203
316460,0.0769,75,310432.625
396820,0.0195,75,7306.73
396820,0.0245,75,14630.9404
396820,0.0308,75,27817.2
396820,0.0387,75,57129.6797
396820,0.0487,75,113546.492
396820,0.0611,75,218953.219
499970,0.0122,75,3434.05
499970,0.0154,75,6591.76
499970,0.0194,75,12384.5596
499970,0.0244,75,21975.7305
499970,0.0306,75,42521.8789
499970,0.0385,75,84806.0078
499970,0.0483,75,158695.406
