Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.037,4212.09,0.9,0.0,0.1,0.0,-6.58
50000.0,0.0417,4993.93,0.9,0.0,0.1,0.0,8.02
50000.0,0.048,7446.36,0.9,0.0,0.1,0.0,3.12
50000.0,0.0531,10379.0303,0.9,0.0,0.1,0.0,-8.07
50000.0,0.0604,13647.4404,0.9,0.0,0.1,0.0,0.72
50000.0,0.0671,17759.5703,0.9,0.0,0.1,0.0,-1.74
50000.0,0.0753,23407.3301,0.9,0.0,0.1,0.0,-1.67
50000.0,0.0839,29787.75,0.9,0.0,0.1,0.0,1.44
50000.0,0.0946,41258.8203,0.9,0.0,0.1,0.0,-0.75
50000.0,0.1058,56274.2,0.9,0.0,0.1,0.0,-4.86
50000.0,0.1182,71260.3594,0.9,0.0,0.1,0.0,-0.36
50000.0,0.1327,93746.5703,0.9,0.0,0.1,0.0,-1.45
50000.0,0.1489,123360.094,0.9,0.0,0.1,0.0,-1.81
50000.0,0.1655,156305.172,0.9,0.0,0.1,0.0,1.38
50000.0,0.1854,214331.406,0.9,0.0,0.1,0.0,-4.57
50000.0,0.2089,280430.031,0.9,0.0,0.1,0.0,-2.64
50000.0,0.2326,349011.375,0.9,0.0,0.1,0.0,0.31
50000.0,0.2615,460685.25,0.9,0.0,0.1,0.0,-1.59
50000.0,0.2936,606398.125,0.9,0.0,0.1,0.0,-8.51
60000.0,0.0384,6943.5,0.9,0.0,0.1,0.0,-11.52
60000.0,0.0426,7741.64,0.9,0.0,0.1,0.0,3.87
60000.0,0.0479,10141.0,0.9,0.0,0.1,0.0,0.64
60000.0,0.0536,13504.2197,0.9,0.0,0.1,0.0,-0.28
60000.0,0.0598,17769.6797,0.9,0.0,0.1,0.0,-1.67
60000.0,0.0677,24129.9492,0.9,0.0,0.1,0.0,0.75
60000.0,0.0758,33768.1094,0.9,0.0,0.1,0.0,-4.85
60000.0,0.0847,43597.7305,0.9,0.0,0.1,0.0,-3.04
